sudo /home/adhak001/dev/openNetVM_sameer/examples/netml_ml_nf/build/app/bridge -l 10 -n 3 --proc-type=secondary -- -r 1 -n 1 -m 6 --
EAL: Probing VFIO support...
EAL: VFIO support initialized
EAL: PCI device 0000:19:00.0 on NUMA socket 0
EAL:   probe driver: 8086:1572 net_i40e
EAL: PCI device 0000:19:00.1 on NUMA socket 0
EAL:   probe driver: 8086:1572 net_i40e
EAL: PCI device 0000:19:00.2 on NUMA socket 0
EAL:   probe driver: 8086:1572 net_i40e
EAL: PCI device 0000:19:00.3 on NUMA socket 0
EAL:   probe driver: 8086:1572 net_i40e
EAL: PCI device 0000:af:00.0 on NUMA socket 1
EAL:   probe driver: 19ee:4000 net_nfp_pf
original instance id 1 
The instance ID of the nf is 1 and associated id 9
NF_1_BATCH_AGG_POOL_NAME
 address 0x17ff35980mempool get retval 0 
Resolved CPU Dev Buffer 
cur_index:1, action:4, destination:0

APP: Waiting for manager to assign an ID...
WAIT_TIME(INIT-->START): 61865 ns
APP: Using Instance ID 1
APP: Using Service ID 1

 NF cgroup name and path: nf_1, /sys/fs/cgroup/cpu/nf_1/
 CMD_TO_CREATE_CGROUP_for_NF: 1, mkdir /sys/fs/cgroup/cpu/nf_1
 CMD_TO_ADD_NF_TO_CGROUP: echo 14024 > /sys/fs/cgroup/cpu/nf_1/tasks
 CMD_TO_SET_CPU_SHARE: echo 1024 > /sys/fs/cgroup/cpu/nf_1/cpu.sharesNF on core=10 added to cgroup: nf_1, ret=0Timer subsystem init
WAIT_TIME(INIT-->START-->Init_end): 146610027 ns
APP: Finished Process Init.
huge_pages address 140000000
 pointer 0x140000000 
Can use host pointer for registered mem 1

Client process 1 handling packets
[Press Ctrl-C to quit ...]
APP: Waiting for manager to put to RUN state...
GPU model is 6
NF using GPU
Linking the cuda memhandles from (nil) 
registered cuda memory mem-addr 0x140000000 size 1073741824 cuda error 0 
Could not register memory mem-addr 0x980000000 size 1073741824 cuda error 1 
Could not register memory mem-addr 0x11c0000000 size 1073741824 cuda error 1 
Could not register memory mem-addr 0x1a00000000 size 1073741824 cuda error 1 
Total time taken to register the mempages to cuda is 29819.815000 micro-seconds 
Buffer size 124346720
Resolved GPU Dev Buffer 
WAIT_TIME(START-->RUN): 3408561786 ns
WAIT_TIME(INIT-->START-->RUN-->RUNNING): 3565105461 ns
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
285,15961,22245
650,15313,20355
660,15097,20355
675,14989,20040
635,14881,20040
660,14773,20040
625,14773,20040
685,14665,20040
610,14557,20040
590,14449,20040
615,14341,20040
635,14341,20040
650,14341,20040
590,14341,20040
620,14233,20040
590,14233,20040
625,14233,20040
630,14233,20040
580,14125,20040
625,14125,20040
620,14125,20040
620,14125,20040
635,14125,20040
635,14125,20040
585,14125,20040
605,14125,20040
650,14125,20040
625,14125,20040
620,14125,20040
600,14125,20040
635,14125,20040
580,14017,20040
580,14017,20040
650,14017,20040
625,14017,20040
615,14017,20040
640,14017,20040
605,14017,20040
610,14017,20040
610,14017,20040
595,14017,20040
665,14017,20040
630,14017,20040
620,14017,20040
640,14017,20040
575,14017,20040
585,14017,20040
635,14017,20040
625,14017,20040
630,14017,20040
620,14017,20040
605,14017,20040
605,14017,20040
605,14017,20040
635,14017,20040
595,14017,20040
600,14017,20040
645,14017,20040
590,14017,20040
650,14017,20040
600,14017,20040
670,14017,20040
585,14017,20040
625,14017,20040
610,14017,20040
605,14017,20040
580,14017,20040
630,14017,20040
600,14017,20040
610,14017,20040
645,14017,20040
600,14017,20040
600,14017,20040
650,14017,20040
590,14017,20040
620,14017,20040
625,14017,20040
600,14017,20040
645,14017,20040
595,14017,20040
630,14017,20040
585,14017,20040
605,14017,20040
590,14017,20040
635,14017,20040
580,14017,20040
650,14017,20040
605,14017,20040
610,14017,20040
645,14017,20040
610,14017,20040
630,14017,20040
595,14017,20040
655,14017,20040
580,14017,20040
590,14017,20040
580,14017,20040
615,14017,20040
595,14017,20040
615,14017,20040
580,14017,20040
600,14017,20040
590,14017,20040
680,14017,20040
605,14017,20040
610,14017,20040
585,14017,20040
590,14017,20040
655,14017,20040
590,14017,20040
595,14017,20040
625,14017,20040
610,14017,20040
580,14017,20040
580,14017,20040
625,14017,20040
630,14017,20040
585,14017,20040
585,14017,20040
580,14017,20040
610,14017,20040
615,13909,20040
625,14017,20040
585,13909,20040
590,13909,20040
645,14017,20040
620,14017,20040
300,14017,20040

 NF is Exiting...!
If we reach here, program is ending
